date,ticker,sentiment,risk,action,action_value,price,portfolio_value
2024-02-06,BAJAJ-AUTO,0.0,0.5,SELL,-0.065773465,7468.869140625,1015838.7803983154
2024-02-06,TATASTEEL,0.0,0.375,SELL,-0.05410789,138.5618438720703,1015838.7803983154
2024-02-06,DIVISLAB,0.0,0.375,HOLD,-0.032464102,3686.9794921875,1015838.7803983154
2024-02-07,SBIN,0.5,0.4,BUY,0.13575307,651.0404663085938,1003121.6541470947
2024-02-07,EICHERMOT,0.0,0.5,BUY,0.1255139,3834.88330078125,1003121.6541470947
2024-02-07,COALINDIA,0.5,0.25,BUY,0.11631319,393.4443664550781,1003121.6541470947
2024-02-07,TATASTEEL,0.6666666666666666,0.6666666666666666,SELL,-0.05545362,138.32237243652344,1003121.6541470947
2024-02-07,BAJAJ-AUTO,0.0,0.5,HOLD,-0.037757263,7450.97216796875,1003121.6541470947
2024-02-07,HDFCLIFE,0.0,0.5,HOLD,-0.034708522,601.4365844726562,1003121.6541470947
2024-02-08,KOTAKBANK,0.0,0.5,BUY,0.12347881,345.1632995605469,1010907.0643033447
2024-02-08,COALINDIA,0.0,0.5,BUY,0.11770168,399.1376953125,1010907.0643033447
2024-02-08,EICHERMOT,0.0,0.5,BUY,0.11744012,3717.3759765625,1010907.0643033447
2024-02-08,HDFCLIFE,0.0,0.5,HOLD,-0.038004424,588.0691528320312,1010907.0643033447
2024-02-08,TATASTEEL,0.0,0.5,HOLD,-0.036475196,137.6039276123047,1010907.0643033447
2024-02-08,BAJAJ-AUTO,0.0,0.5,HOLD,-0.035422772,7504.51904296875,1010907.0643033447
2024-02-09,SBIN,0.0,0.5,BUY,0.13529244,699.247802734375,1004976.3361917877
2024-02-09,KOTAKBANK,0.0,0.5,BUY,0.12084303,347.7075500488281,1004976.3361917877
2024-02-09,BHARTIARTL,-0.5,0.5,BUY,0.11689457,1104.8055419921875,1004976.3361917877
2024-02-09,BAJAJ-AUTO,-0.75,0.375,SELL,-0.053418666,7531.2197265625,1004976.3361917877
2024-02-09,TATASTEEL,0.0,0.5,SELL,-0.0509258,135.35284423828125,1004976.3361917877
2024-02-09,DIVISLAB,0.0,0.5,HOLD,-0.039762776,3613.56640625,1004976.3361917877
2024-02-12,KOTAKBANK,0.0,0.5,BUY,0.12232314,341.1423645019531,1004122.3395944977
2024-02-12,SBIN,0.0,0.5,BUY,0.11280162,682.5198974609375,1004122.3395944977
2024-02-12,EICHERMOT,0.0,0.5,BUY,0.110005096,3780.4013671875,1004122.3395944977
2024-02-12,TATASTEEL,-0.5,0.625,SELL,-0.06134778,131.6169891357422,1004122.3395944977
2024-02-12,SUNPHARMA,0.5,0.25,SELL,-0.05835164,1505.6669921875,1004122.3395944977
2024-02-12,BAJAJ-AUTO,0.0,0.5,HOLD,-0.04713226,7574.85009765625,1004122.3395944977
2024-02-13,KOTAKBANK,0.0,0.5,BUY,0.106647566,346.6499328613281,1009652.0679727936
2024-02-13,EICHERMOT,-0.5,0.5,BUY,0.10085644,3763.16796875,1009652.0679727936
2024-02-13,SBIN,0.0,0.25,BUY,0.09950999,687.8709106445312,1009652.0679727936
2024-02-13,TATASTEEL,0.0,0.5,SELL,-0.054177806,132.0480499267578,1009652.0679727936
2024-02-13,BAJAJ-AUTO,0.0,0.5,HOLD,-0.045041118,7659.451171875,1009652.0679727936
2024-02-13,SUNPHARMA,0.5,0.25,HOLD,-0.03593392,1513.2716064453125,1009652.0679727936
2024-02-14,KOTAKBANK,0.0,0.5,BUY,0.121092305,349.0046691894531,1012720.7077127838
2024-02-14,EICHERMOT,0.0,0.5,BUY,0.10966832,3809.39990234375,1012720.7077127838
2024-02-14,SBIN,0.0,0.5,BUY,0.10346805,716.7471313476562,1012720.7077127838
2024-02-14,TATASTEEL,0.0,0.5,SELL,-0.05944741,135.25704956054688,1012720.7077127838
2024-02-14,BAJAJ-AUTO,0.0,0.5,SELL,-0.05864855,7819.94580078125,1012720.7077127838
2024-02-14,SUNPHARMA,0.0,0.5,HOLD,-0.038195033,1491.880859375,1012720.7077127838
2024-02-15,KOTAKBANK,0.0,0.5,BUY,0.12354948,347.0690002441406,1019339.5569864655
2024-02-15,EICHERMOT,0.0,0.5,BUY,0.11653225,3824.045654296875,1019339.5569864655
2024-02-15,COALINDIA,0.0,0.5,BUY,0.10653454,414.4790954589844,1019339.5569864655
2024-02-15,TATASTEEL,0.0,0.5,SELL,-0.057261698,135.25704956054688,1019339.5569864655
2024-02-15,BAJAJ-AUTO,0.0,0.5,HOLD,-0.048959076,7858.400390625,1019339.5569864655
2024-02-15,SUNPHARMA,0.0,0.5,HOLD,-0.036786593,1481.57763671875,1019339.5569864655
2024-02-16,SBIN,-0.5,0.5,BUY,0.12692028,727.6419067382812,1023434.6626078034
2024-02-16,KOTAKBANK,-0.5,0.5,BUY,0.12532106,346.27081298828125,1023434.6626078034
2024-02-16,BAJAJFINSV,0.0,0.5,BUY,0.12361236,1574.139404296875,1023434.6626078034
2024-02-16,BAJAJ-AUTO,0.0,0.5,SELL,-0.05303651,8053.81982421875,1023434.6626078034
2024-02-16,TATASTEEL,0.5,0.5,HOLD,-0.04131402,136.31076049804688,1023434.6626078034
2024-02-16,AXISBANK,0.0,0.5,HOLD,-0.035528418,1067.013916015625,1023434.6626078034
2024-02-19,KOTAKBANK,0.1666666666666666,0.3333333333333333,BUY,0.11969281,345.5025634765625,1020513.9380136871
2024-02-19,SBIN,0.6666666666666666,0.3333333333333333,BUY,0.111818865,732.02880859375,1020513.9380136871
2024-02-19,BAJAJFINSV,0.0,0.5,BUY,0.109703556,1618.340087890625,1020513.9380136871
2024-02-19,BAJAJ-AUTO,0.0,0.5,SELL,-0.054637097,8232.4541015625,1020513.9380136871
2024-02-19,TATASTEEL,0.0,0.375,SELL,-0.054521993,135.97549438476562,1020513.9380136871
